"Entity,Day,""Daily new confirmed cases of COVID-19 per million people in Germany"""
Germany,2022-07-10,1069.2245
Germany,2022-07-11,1069.2245
Germany,2022-07-12,1069.2245
Germany,2022-07-13,1069.2245
Germany,2022-07-14,1069.2245
Germany,2022-07-15,1069.2245
Germany,2022-07-16,1069.2245
Germany,2022-07-17,1147.0035
Germany,2022-07-18,1147.0035
Germany,2022-07-19,1147.0035
Germany,2022-07-20,1147.0035
Germany,2022-07-21,1147.0035
Germany,2022-07-22,1147.0035
Germany,2022-07-23,1147.0035
Germany,2022-07-24,1065.5378
Germany,2022-07-25,1065.5378
Germany,2022-07-26,1065.5378
Germany,2022-07-27,1065.5378
Germany,2022-07-28,1065.5378
Germany,2022-07-29,1065.5378
Germany,2022-07-30,1065.5378
Germany,2022-07-31,842.2125
Germany,2022-08-01,842.2125
Germany,2022-08-02,842.2125
Germany,2022-08-03,842.2125
Germany,2022-08-04,842.2125
Germany,2022-08-05,842.2125
Germany,2022-08-06,842.2125
Germany,2022-08-07,616.6055
Germany,2022-08-08,616.6055
Germany,2022-08-09,616.6055
Germany,2022-08-10,616.6055
Germany,2022-08-11,616.6055
Germany,2022-08-12,616.6055
Germany,2022-08-13,616.6055
Germany,2022-08-14,506.77942
Germany,2022-08-15,506.77942
Germany,2022-08-16,506.77942
Germany,2022-08-17,506.77942
Germany,2022-08-18,506.77942
Germany,2022-08-19,506.77942
Germany,2022-08-20,506.77942
Germany,2022-08-21,447.37946
Germany,2022-08-22,447.37946
Germany,2022-08-23,447.37946
Germany,2022-08-24,447.37946
Germany,2022-08-25,447.37946
Germany,2022-08-26,447.37946
Germany,2022-08-27,447.37946
Germany,2022-08-28,387.32202
Germany,2022-08-29,387.32202
Germany,2022-08-30,387.32202
Germany,2022-08-31,387.32202
Germany,2022-09-01,387.32202
Germany,2022-09-02,387.32202
Germany,2022-09-03,387.32202
Germany,2022-09-04,342.7725
Germany,2022-09-05,342.7725
Germany,2022-09-06,342.7725
Germany,2022-09-07,342.7725
Germany,2022-09-08,342.7725
Germany,2022-09-09,342.7725
Germany,2022-09-10,342.7725
Germany,2022-09-11,346.72592
Germany,2022-09-12,346.72592
Germany,2022-09-13,346.72592
Germany,2022-09-14,346.72592
Germany,2022-09-15,346.72592
Germany,2022-09-16,346.72592
Germany,2022-09-17,346.72592
Germany,2022-09-18,388.90884
Germany,2022-09-19,388.90884
Germany,2022-09-20,388.90884
Germany,2022-09-21,388.90884
Germany,2022-09-22,388.90884
Germany,2022-09-23,388.90884
Germany,2022-09-24,388.90884
Germany,2022-09-25,486.805
Germany,2022-09-26,486.805
Germany,2022-09-27,486.805
Germany,2022-09-28,486.805
Germany,2022-09-29,486.805
Germany,2022-09-30,486.805
Germany,2022-10-01,486.805
Germany,2022-10-02,779.5608
Germany,2022-10-03,779.5608
Germany,2022-10-04,779.5608
Germany,2022-10-05,779.5608
Germany,2022-10-06,779.5608
Germany,2022-10-07,779.5608
Germany,2022-10-08,779.5608
Germany,2022-10-09,1009.2928
Germany,2022-10-10,1009.2928
Germany,2022-10-11,1009.2928
Germany,2022-10-12,1009.2928
Germany,2022-10-13,1009.2928
Germany,2022-10-14,1009.2928
Germany,2022-10-15,1009.2928
Germany,2022-10-16,1095.7908
Germany,2022-10-17,1095.7908
Germany,2022-10-18,1095.7908
Germany,2022-10-19,1095.7908
Germany,2022-10-20,1095.7908
Germany,2022-10-21,1095.7908
Germany,2022-10-22,1095.7908
Germany,2022-10-23,925.26843
Germany,2022-10-24,925.26843
Germany,2022-10-25,925.26843
Germany,2022-10-26,925.26843
Germany,2022-10-27,925.26843
Germany,2022-10-28,925.26843
Germany,2022-10-29,925.26843
Germany,2022-10-30,635.23773
Germany,2022-10-31,635.23773
Germany,2022-11-01,635.23773
Germany,2022-11-02,635.23773
Germany,2022-11-03,635.23773
Germany,2022-11-04,635.23773
Germany,2022-11-05,635.23773
Germany,2022-11-06,413.82376
Germany,2022-11-07,413.82376
Germany,2022-11-08,413.82376
Germany,2022-11-09,413.82376
Germany,2022-11-10,413.82376
Germany,2022-11-11,413.82376
Germany,2022-11-12,413.82376
Germany,2022-11-13,343.21082
Germany,2022-11-14,343.21082
Germany,2022-11-15,343.21082
Germany,2022-11-16,343.21082
Germany,2022-11-17,343.21082
Germany,2022-11-18,343.21082
Germany,2022-11-19,343.21082
Germany,2022-11-20,288.2536
Germany,2022-11-21,288.2536
Germany,2022-11-22,288.2536
Germany,2022-11-23,288.2536
Germany,2022-11-24,288.2536
Germany,2022-11-25,288.2536
Germany,2022-11-26,288.2536
Germany,2022-11-27,289.82
Germany,2022-11-28,289.82
Germany,2022-11-29,289.82
Germany,2022-11-30,289.82
Germany,2022-12-01,289.82
Germany,2022-12-02,289.82
Germany,2022-12-03,289.82
Germany,2022-12-04,314.0061
Germany,2022-12-05,314.0061
Germany,2022-12-06,314.0061
Germany,2022-12-07,314.0061
Germany,2022-12-08,314.0061
Germany,2022-12-09,314.0061
Germany,2022-12-10,314.0061
Germany,2022-12-11,338.9465
Germany,2022-12-12,338.9465
Germany,2022-12-13,338.9465
Germany,2022-12-14,338.9465
Germany,2022-12-15,338.9465
Germany,2022-12-16,338.9465
Germany,2022-12-17,338.9465
Germany,2022-12-18,378.78317
Germany,2022-12-19,378.78317
Germany,2022-12-20,378.78317
Germany,2022-12-21,378.78317
Germany,2022-12-22,378.78317
Germany,2022-12-23,378.78317
Germany,2022-12-24,378.78317
Germany,2022-12-25,392.02298
Germany,2022-12-26,392.02298
Germany,2022-12-27,392.02298
Germany,2022-12-28,392.02298
Germany,2022-12-29,392.02298
Germany,2022-12-30,392.02298
Germany,2022-12-31,392.02298
Germany,2023-01-01,257.50284
Germany,2023-01-02,257.50284
Germany,2023-01-03,257.50284
Germany,2023-01-04,257.50284
Germany,2023-01-05,257.50284
Germany,2023-01-06,257.50284
Germany,2023-01-07,257.50284
Germany,2023-01-08,221.39871
Germany,2023-01-09,221.39871
Germany,2023-01-10,221.39871
Germany,2023-01-11,221.39871
Germany,2023-01-12,221.39871
Germany,2023-01-13,221.39871
Germany,2023-01-14,221.39871
Germany,2023-01-15,151.35663
Germany,2023-01-16,151.35663
Germany,2023-01-17,151.35663
Germany,2023-01-18,151.35663
Germany,2023-01-19,151.35663
Germany,2023-01-20,151.35663
Germany,2023-01-21,151.35663
Germany,2023-01-22,106.80709
Germany,2023-01-23,106.80709
Germany,2023-01-24,106.80709
Germany,2023-01-25,106.80709
Germany,2023-01-26,106.80709
Germany,2023-01-27,106.80709
Germany,2023-01-28,106.80709
Germany,2023-01-29,124.52871
Germany,2023-01-30,124.52871
Germany,2023-01-31,124.52871
Germany,2023-02-01,124.52871
Germany,2023-02-02,124.52871
Germany,2023-02-03,124.52871
Germany,2023-02-04,124.52871
Germany,2023-02-05,143.12358
Germany,2023-02-06,143.12358
Germany,2023-02-07,143.12358
Germany,2023-02-08,143.12358
Germany,2023-02-09,143.12358
Germany,2023-02-10,143.12358
Germany,2023-02-11,143.12358
Germany,2023-02-12,147.11948
Germany,2023-02-13,147.11948
Germany,2023-02-14,147.11948
Germany,2023-02-15,147.11948
Germany,2023-02-16,147.11948
Germany,2023-02-17,147.11948
Germany,2023-02-18,147.11948
Germany,2023-02-19,166.24101
Germany,2023-02-20,166.24101
Germany,2023-02-21,166.24101
Germany,2023-02-22,166.24101
Germany,2023-02-23,166.24101
Germany,2023-02-24,166.24101
Germany,2023-02-25,166.24101
Germany,2023-02-26,192.71725
Germany,2023-02-27,192.71725
Germany,2023-02-28,192.71725
Germany,2023-03-01,192.71725
Germany,2023-03-02,192.71725
Germany,2023-03-03,192.71725
Germany,2023-03-04,192.71725
Germany,2023-03-05,146.65396
Germany,2023-03-06,146.65396
Germany,2023-03-07,146.65396
Germany,2023-03-08,146.65396
Germany,2023-03-09,146.65396
Germany,2023-03-10,146.65396
Germany,2023-03-11,146.65396
Germany,2023-03-12,74.3421
Germany,2023-03-13,74.3421
Germany,2023-03-14,74.3421
Germany,2023-03-15,74.3421
Germany,2023-03-16,74.3421
Germany,2023-03-17,74.3421
Germany,2023-03-18,74.3421
Germany,2023-03-19,68.479065
Germany,2023-03-20,68.479065
Germany,2023-03-21,68.479065
Germany,2023-03-22,68.479065
Germany,2023-03-23,68.479065
Germany,2023-03-24,68.479065
Germany,2023-03-25,68.479065
Germany,2023-03-26,55.451614
Germany,2023-03-27,55.451614
Germany,2023-03-28,55.451614
Germany,2023-03-29,55.451614
Germany,2023-03-30,55.451614
Germany,2023-03-31,55.451614
Germany,2023-04-01,55.451614
Germany,2023-04-02,38.48433
Germany,2023-04-03,38.48433
Germany,2023-04-04,38.48433
Germany,2023-04-05,38.48433
Germany,2023-04-06,38.48433
Germany,2023-04-07,38.48433
Germany,2023-04-08,38.48433
Germany,2023-04-09,24.938702
Germany,2023-04-10,24.938702
Germany,2023-04-11,24.938702
Germany,2023-04-12,24.938702
Germany,2023-04-13,24.938702
Germany,2023-04-14,24.938702
Germany,2023-04-15,24.938702
Germany,2023-04-16,22.162638
Germany,2023-04-17,22.162638
Germany,2023-04-18,22.162638
Germany,2023-04-19,22.162638
Germany,2023-04-20,22.162638
Germany,2023-04-21,22.162638
Germany,2023-04-22,22.162638
Germany,2023-04-23,19.483414
Germany,2023-04-24,19.483414
Germany,2023-04-25,19.483414
Germany,2023-04-26,19.483414
Germany,2023-04-27,19.483414
Germany,2023-04-28,19.483414
Germany,2023-04-29,19.483414
Germany,2023-04-30,15.618331
Germany,2023-05-01,15.618331
Germany,2023-05-02,15.618331
Germany,2023-05-03,15.618331
Germany,2023-05-04,15.618331
Germany,2023-05-05,15.618331
Germany,2023-05-06,15.618331
Germany,2023-05-07,12.504179
Germany,2023-05-08,12.504179
Germany,2023-05-09,12.504179
Germany,2023-05-10,12.504179
Germany,2023-05-11,12.504179
Germany,2023-05-12,12.504179
Germany,2023-05-13,12.504179
Germany,2023-05-14,11.396472
Germany,2023-05-15,11.396472
Germany,2023-05-16,11.396472
Germany,2023-05-17,11.396472
Germany,2023-05-18,11.396472
Germany,2023-05-19,11.396472
Germany,2023-05-20,11.396472
Germany,2023-05-21,7.405668
Germany,2023-05-22,7.405668
Germany,2023-05-23,7.405668
Germany,2023-05-24,7.405668
Germany,2023-05-25,7.405668
Germany,2023-05-26,7.405668
Germany,2023-05-27,7.405668
Germany,2023-05-28,7.25786
Germany,2023-05-29,7.25786
Germany,2023-05-30,7.25786
Germany,2023-05-31,7.25786
Germany,2023-06-01,7.25786
Germany,2023-06-02,7.25786
Germany,2023-06-03,7.25786
Germany,2023-06-04,4.7009597
Germany,2023-06-05,4.7009597
Germany,2023-06-06,4.7009597
Germany,2023-06-07,4.7009597
Germany,2023-06-08,4.7009597
Germany,2023-06-09,4.7009597
Germany,2023-06-10,4.7009597
Germany,2023-06-11,4.063858
Germany,2023-06-12,4.063858
Germany,2023-06-13,4.063858
Germany,2023-06-14,4.063858
Germany,2023-06-15,4.063858
Germany,2023-06-16,4.063858
Germany,2023-06-17,4.063858
Germany,2023-06-18,3.4216597
Germany,2023-06-19,3.4216597
Germany,2023-06-20,3.4216597
Germany,2023-06-21,3.4216597
Germany,2023-06-22,3.4216597
Germany,2023-06-23,3.4216597
Germany,2023-06-24,3.4216597
Germany,2023-06-25,2.595976
Germany,2023-06-26,2.595976
Germany,2023-06-27,2.595976
Germany,2023-06-28,2.595976
Germany,2023-06-29,2.595976
Germany,2023-06-30,2.595976
Germany,2023-07-01,2.595976
Germany,2023-07-02,1.8671321
Germany,2023-07-03,1.8671321
Germany,2023-07-04,1.8671321
Germany,2023-07-05,1.8671321
Germany,2023-07-06,1.8671321
Germany,2023-07-07,1.8671321
Germany,2023-07-08,1.8671321
Germany,2023-07-09,0
Germany,2023-07-10,0
